id,title,overview,genres,vote_average,vote_count,popularity,poster_path
1293286,Gunslingers,"When the most wanted man in America surfaces in a small Kentucky town, his violent history -- and a blood-thirsty mob seeking vengeance and a king’s ransom -- soon follow. As brothers face off against one another and bullets tear the town to shreds, this lightning-fast gunslinger makes his enemies pay the ultimate price for their greed.","37,28",6.429,49,64.1346,/O7REXWPANWXvX2jhQydHjAq2DV.jpg
950396,The Gorge,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.","10749,878,53",7.72,2529,64.3009,/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg
1244944,The Woman in the Yard,"In the aftermath of her husband's death, widow Ramona's struggle to raise her two kids is hindered by the arrival of a mysterious woman with supernatural abilities.","27,9648",6.188,141,65.0719,/n0WS2TsNcS6dtaZKzxipyO7LuCJ.jpg
931349,Ash,A woman wakes up on a distant planet and finds the crew of her space station viciously killed. Her investigation into what happened sets in motion a terrifying chain of events.,"878,27,53",5.371,201,56.5268,/nRa8B3tQCUK6pVwjasIyQehbvpF.jpg
1125880,Swarm,"A secluded island somewhere on a seas of the Northern Europe. A family of four has lived here for over ten years, perfecting the art of survival. They had moved onto an island to escape a falling civilization, to live in freedom, close to nature.  But, things can’t be solved by simply escaping the world, and problems arise when the Mother becomes pregnant again. Moreover, Winter is coming. It seems the only solution is in leaving the island, but this meets with stern dissent from the Father, who sees the place as the only safe haven on earth. Will the others find the courage to stand up to the Father? Can their family survive what comes next?",18,4.5,2,66.9877,/6Cmu2RgUd7u5Bk8AaKZktLbxMbW.jpg
1189423,The Sloth Lane,"After a terrifying storm destroys their home, a speedy sloth named Laura and her kooky family move to the big city in their rusted old food truck, Gordito, hoping to make their business a success. The family's delicious food catches the eye of a quick-witted cheetah who will stop at nothing to revive her failing fast-food business.","16,10751",6.3,15,61.7276,/toBN1A9AnhoUzXyu9gaVyQVJehp.jpg
1010581,My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","10749,18",7.815,3672,63.5777,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
300668,Annihilation,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","878,27",6.426,8827,42.786,/4YRplSk6BhH6PRuE9gfyw9byUJ6.jpg
419430,Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","9648,53,27",7.618,17845,41.6563,/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg
330980,Box Room,"Jerry is a strange and solitary boy who lives with his young neglectful mother in a run down apartment. He spends his weekends hidden away in his bedroom making model figurines and watching TV alone. While investigating a damp stain on his bedroom wall, Jerry peels off some wallpaper, revealing a seductive alien orifice growing behind the plaster. After spending an ever increasing amount of time in his bedroom exploring and inspecting the alien creature, Jerry embarks on his first sexual experience. After numerous encounters between Jerry and the creature, it becomes pregnant. Filled with panic and guilt, Jerry attempts to abort the alien creature, leading to a horrific outcome which neither himself nor his mother will ever forget.","878,18,27",5.3,9,27.3619,/nQK0m0n6yVlL3oLkUt5ZI1w6fnG.jpg
950784,Flame of Recca: Final Burning,A retold ending based on the final few chapters of the Flame of Recca manga series.,"16,28",9.5,2,60.7004,/mz4JRlydPga303keGQh5Ib0rLDC.jpg
1091,The Thing,"In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Soon unfrozen, the form-changing creature wreaks havoc, creates terror... and becomes one of them.","27,9648,878",8.068,7269,38.4158,/tzGY49kseSE9QAKk47uuDGwnSCu.jpg
1059073,Winter Spring Summer or Fall,"Remi and Barnes, two very different teenagers, meet by chance in the winter of their senior year, then spend four  days together over the course of a year that will change their lives forever.","10749,35,18",7.345,87,53.8138,/mEPi5ISa5RmzpzeDfwkhX0CcNsf.jpg
334541,Manchester by the Sea,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",18,7.546,5983,37.6357,/o9VXYOuaJxCEKOxbA86xqtwmqYn.jpg
575265,Mission: Impossible - The Final Reckoning,"Ethan Hunt and the IMF team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Ethan's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.","28,12,53",0.0,0,60.1572,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg
345940,The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.","28,878,27",6.248,7792,38.6843,/eyWICPcxOuTcDDDbTMOZawoOn8d.jpg
1252309,Ask Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.","10749,18",6.0,162,60.6403,/k82T5L1utX1G2LhNWeza9nGUKPk.jpg
372058,Your Name.,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.","16,10749,18",8.483,11747,46.3229,/8GJsy7w7frGquw1cy9jasOGNNI1.jpg
263115,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.","28,18,878",7.82,19589,39.4987,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg
912649,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.","28,878,12",6.76,3275,56.3999,/vGXptEdgZIhPg3cGlc7e8sNPC2e.jpg
1125899,Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.","28,53",6.672,244,54.2508,/mwzDApMZAGeYCEVjhegKvCzDX0W.jpg
840430,The Holdovers,"A curmudgeonly instructor at a New England prep school is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually, he forms an unlikely bond with one of them — a damaged, brainy troublemaker — and with the school’s head cook, who has just lost a son in Vietnam.","35,18",7.68,1987,35.8143,/VHSzNBTwxV8vh7wylo7O9CLdac.jpg
1232546,Until Dawn,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.","27,9648",6.5,134,53.8724,/6O9nkcmZBymDXtxOGJmulqcxJdv.jpg
315837,Ghost in the Shell,"In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.","878,18,28",6.09,8140,35.7892,/zCtL3UBgCoZzd7XTVGhvl6XY75E.jpg
49283,Sunflower,Tae-sik gets out of a prison after spending 10 years for killing a man and wishes nothing but an ordinary life. A local lady welcomes him into her household like a son and he gets a second chance in life. His former gang tries to destroy his new home in order to build a night club but he won’t let them destroy his new family.,"80,18",7.0,49,20.9266,/qgxZrB4r4OimjYMUZlt6ZmaUm81.jpg
1126166,Flight Risk,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.","28,53",6.1,671,53.6901,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg
71689,Phineas and Ferb The Movie: Across the 2nd Dimension,"Phineas and Ferb get trapped in an alternate dimension where the evil Doofenshmirtz rules the tri-state area. They must find a way back home with the help of their pet platypus named Perry, who they discover is a secret agent.","16,35,10751,10770,878,12,28,10402",7.072,564,57.3637,/updMFSOZwEftfkJRpozwBlRlYI2.jpg
650033,Free Fall,"In the near future, humanity has successfully colonized space and build a giant orbital station ""Delta"". Max is a repairman working on the station. After a disaster caused by a proton storm, he is left alone without his crew members, drifting into space. His space suit is broken, he is exhausted, and he lacks communication with people. But suddenly a dispatcher named Anna comes to help. She is the only one who can guide Max through difficulties and get him to the station. Max has to risk everything to save his life, but he has no idea what Anna is up to.","53,878",5.0,1,52.5457,/tB66c6dnu9dG60mta8TF8zmeGJn.jpg
370172,No Time to Die,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","28,53,12",7.367,6503,37.1919,/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg
370172,No Time to Die,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","28,53,12",7.367,6503,37.1919,/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg
238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","18,80",8.687,21411,50.204,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg
533535,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","28,35,878",7.599,7174,52.6676,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
1296500,Un lío de millones,"In a village in the Sierra de Madrid, a couple feels that their children, who have since moved out, have forgotten about them. To get them back, they will pretend that they have won the lottery and that they are multimillionaires.",35,6.2,11,56.1951,/1gPOV4ExV0AAGMLpF3em6BSRVV8.jpg
324786,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.","18,36,10752",8.193,14075,38.2535,/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg
872585,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,"18,36",8.061,10192,45.9345,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg
346672,Underworld: Blood Wars,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.","14,28,53,878",5.901,3747,35.9481,/v1ciDCWMG47gdT4kMyjyQbnLQQn.jpg
1373723,The Codes of War,"War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.","28,10752",6.117,60,49.6717,/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg
539972,Kraven the Hunter,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.","28,12,53",6.585,1644,46.7347,/1GvBhRxY6MELDfxFrete6BNhBB5.jpg
519182,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.","16,10751,35,878",7.049,2741,50.6792,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg
